Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Individual_Profit,Max_Individual_Profit,Sum_Min_Possible_ETA,Min_Individual_ETA,Max_Individual_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
676,ALG1,Passenger-optimal,66,1587,521,1845,4,99,96,4,59,0.8601626016260162,0.18426103646833014,20,F1P,F1P
677,ALG2,Passenger-optimal,63,1214,670,1845,20,97,96,3,58,0.6579945799457995,0.14328358208955225,20,F2P,F2P
678,ALG1,Passenger-optimal,45,1432,686,1825,15,96,124,4,59,0.7846575342465754,0.18075801749271136,20,F1P,F1P
679,ALG2,Passenger-optimal,94,979,635,1825,5,98,124,6,58,0.5364383561643835,0.1952755905511811,20,F2P,F2P
680,ALG1,Passenger-optimal,49,1416,572,1823,13,95,105,2,58,0.7767416346681295,0.18356643356643357,20,F1P,F1P
681,ALG2,Passenger-optimal,106,801,684,1823,1,99,105,13,58,0.43938562808557324,0.15350877192982457,20,F2P,F2P
682,ALG1,Passenger-optimal,54,1559,603,1836,13,99,100,2,59,0.849128540305011,0.16583747927031509,20,F1P,F1P
683,ALG2,Passenger-optimal,119,896,583,1836,3,95,100,3,56,0.4880174291938998,0.17152658662092624,20,F2P,F2P
684,ALG1,Passenger-optimal,52,1406,584,1818,12,99,99,3,58,0.7733773377337734,0.1695205479452055,20,F1P,F1P
685,ALG2,Passenger-optimal,98,967,651,1818,9,97,99,2,53,0.5319031903190319,0.15207373271889402,20,F2P,F2P
686,ALG1,Passenger-optimal,54,1431,560,1826,9,99,109,3,58,0.7836801752464403,0.19464285714285715,20,F1P,F1P
687,ALG2,Passenger-optimal,80,1124,516,1826,5,93,109,1,58,0.615553121577218,0.21124031007751937,20,F2P,F2P
688,ALG1,Passenger-optimal,72,1528,701,1802,40,99,110,1,57,0.8479467258601554,0.15691868758915833,20,F1P,F1P
689,ALG2,Passenger-optimal,74,995,663,1802,5,92,110,8,59,0.5521642619311876,0.16591251885369532,20,F2P,F2P
690,ALG1,Passenger-optimal,51,1322,486,1806,1,97,123,5,57,0.7320044296788483,0.25308641975308643,20,F1P,F1P
691,ALG2,Passenger-optimal,72,885,721,1806,6,93,123,1,59,0.4900332225913621,0.17059639389736478,20,F2P,F2P
692,ALG1,Passenger-optimal,58,1355,564,1819,27,99,133,2,56,0.7449147883452446,0.23581560283687944,20,F1P,F1P
